id	title	description	price	condition	link	image_link	availability	brand	mpn	adult 	product_weight	shipping_weight
1001001928	Reduzierring 32x22x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen. 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x22x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001928 	no	0.0050 kg	0.0050 kg
1001001930	Reduzierring 32x20x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen. 	4.4999969 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x20x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001930 	no	0.0050 kg	0.0050 kg
1001001934	Reduzierring 32x16x1mm gerändelt 	Gerändelter Reduzierring, passend für alle DiaPre Sägeblätter, um den gewünschten Durchmesser der Wellenaufnahme zu erreichen. 	4.49999999995 EUR	new	https://shop.aquarus.net/de/saegen/reduzierring/reduzierring-32x16x1mm-geraendelt 	https://shop.aquarus.net/media/images/org/1001001301_08.jpg 	in_stock	Aquarus	1001001934 	no	0.0050 kg	0.0050 kg
1001004390	Polierfilz Set E, 12er Set, Schaft 2,35mm 	Polierfilze mittelhart ohne Poliermittel in diversen Formen wie Walze, Zylinder, Kegel, Schaft 2,35mm 	19.9000011 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/schleif-polierbuersten/polierfilz-set-e-12er-set-schaft-2-35mm 	https://shop.aquarus.net/media/images/org/1001004390-001.jpg 	in_stock	Aquarus	1001004390 	no	0.0850 kg	0.0850 kg
1001004389	DiaGal Schleifstifte 20er, Set E, Schaft 2,35mm 	Galvanisch gebundene Schleifstifte in diversen Formen wie Zylinder, Kegel, Kugel, Ellipse,Walze Schaft 2,35mm, Länge: ca.4,5cm 	12.9000046 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/schleifstifte/diagal-schleifstifte/diagal-schleifstifte-20er-set-e-schaft-2-35mm 	https://shop.aquarus.net/media/images/org/1001004389-002.jpg 	in_stock	Aquarus	1001004389 	no	0.0600 kg	0.0600 kg
1001004377	AQUA  Set Polierstifte 4x Spitzbogen 	AQUA Set Schleif- und Polierstifte für Edselsteine wie Opale, Achate etc.Körnung 280.600,1200,3000, Schaft 2,35mm, Nur für den Nasseinsatz geeignet! 	48.9999993 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/steinpoliersets/aqua-set-polierstifte-4x-spitzbogen 	https://shop.aquarus.net/media/images/org/1001004377-010.jpg 	in_stock	Aquarus	1001004377 	no	0.1150 kg	0.1150 kg
1001004380	DiaGal Feilen 4-teiliges Set Bead Reamer 	Praktisches Feilen Set mit Handstück, in dem galvanische Feilen aufgewahrt werden können, Formen: Kegelsenker, Flachfeile, 2x Reibalen konisch 	15.949999999955 EUR	new	https://shop.aquarus.net/de/handwerkzeug/diagal-feilen/diagal-feilen-4-teiliges-set-bead-reamer 	https://shop.aquarus.net/media/images/org/1001004380-002.jpg 	in_stock	Aquarus	1001004380 	no	0.0350 kg	0.0350 kg
1001003395	Lupe/ Magnifier 20 x 21mm 	Lupe 20x21mm in Kunststoff Box 	11.999999999946 EUR	new	https://shop.aquarus.net/de/handwerkzeug/lupe/lupe-magnifier-20-x-21mm 	https://shop.aquarus.net/media/images/org/1001003395-005.jpg 	in_stock	Aquarus	1001003395 	no	0.6000 kg	0.6000 kg
1001004388	DiaSin Schleifstifte 10er-Set, Schaft 2,35mm 	Gesinterte Schleifstifte in verschiedenen Formen, Korn 120, Schaft 2,35mm,Geeignet zum Schleifen von Edelstein, Mineralien, Naturstein, Glas,Keramik etc.. Wir empfehlen nass zu arbeiten, um die Standzeit zu verlängern. 	94.9999967 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/schleifstifte/diasin-m-schleifstifte/diasin-schleifstifte-10er-set-schaft-2-35mm 	https://shop.aquarus.net/media/images/org/1001004388-005.jpg 	in_stock	Aquarus	1001004388 	no	0.0700 kg	0.0700 kg
1001004373	AQUA Polierstift Spitzbogen  grit 280 	AQUA Polierstift Spitzbogen grit 280, Schaft 2,35mmZur Bearbeitung von Opal, Achate, Quarze und alle weiteren Edelsteine, nur für den Nasseinsatz! 	17.9499957 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/steinpoliersets/aqua-polierstift-spitzbogen-grit-280 	https://shop.aquarus.net/media/images/org/1001004373-004.jpg 	in_stock	Aquarus	1001004373 	no	0.0350 kg	0.0350 kg
